ID,EIN,NAME,ICO,STREET,CITY,STATE,ZIP,Subsection Name,Subsection Description,NTEE_CD,Category,IRS_NTEE_Code2_Description,AFFILIATION,Aff_Type,IRS_Affiliation_Codes_Description,Ded_Code,Ded_Description,Foundation_Code,Foundation_Description,Org_Code,Org_Description,EO_Status_Code,EO_Description,Asset_Income_Code,IRS_Asset_Income_Codes_Description,Filing_Code,IRS_Filing_Codes_Description,PF_Filing_Code,IRS_PF_Filing_Codes_Description,ASSET_AMT,INCOME_AMT,REVENUE_AMT
,660391387,ST JOHN SCHOOL OF THE ARTS INC 108 ESTATE ENIGNED & CONTANT,,PO BOX 180,ST JOHN,VI,00831-0180,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,11,,1,Corporation,1,Unconditional Exemption,4,100,000 to 499,,999,,1,0,147683
,660392350,TRINITY WESLEYAN OF THE VIRGIN ISLANDS,,PO BOX 547,CHRISTIANSTED,VI,00821-0547,Charitable and religious,Charitable and religious,X20,Religion-Related, Spiritual Development,Christian,3,,Independent,1,Contributions are deductible. ,,10,1,Corporation,1,Unconditional Exemption,0,0,,6,,0,,
,10709908,HOGARES AMPARO INC,% CARMEN M CRUZ RIVERA,800 HIOODROMO ST STE 105,SAN JUAN,PR,00909-0000,Charitable and religious,Charitable and religious,P43,Human Services - Multipurpose and Other,Family Violence Shelters, Services,3,,Independent,1,Contributions are deductible. ,,,1,Corporation,1,Unconditional Exemption,1,1 to 9,,999,,0,1,2569
,10728628,INTERSECTIONS INC,,PO BOX 1715,PAGO PAGO,AS,96799-1715,Charitable and religious,Charitable and religious,O50,Youth Development,Youth Development Programs, Other,3,,Independent,1,Contributions are deductible. ,,15,1,Corporation,1,Unconditional Exemption,0,0,,2,,0,0,0
,42622178,BRIGHTWOOD DEVELOPMENT CORP,,DE DIEGO 14,MAYAGUEZ,PR,00680-0000,Charitable and religious,Charitable and religious,S310,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,43575007,PENTECOSTAL MOVEMENT COUNCIL INC,% GENARO TORRES,PO BOX 6193,ST CROIX,VI,00823-6193,Charitable and religious,Charitable and religious,X20,Religion-Related, Spiritual Development,Christian,3,,Independent,1,Contributions are deductible. ,,10,1,Corporation,1,Unconditional Exemption,0,0,,6,,0,,
,43700254,IGLESIA EVANGELICA MISIONERA FUERZA AGAPE,% ROBERT RANSOM,PO BOX 580,SAN ANTONIO,PR,00690-0580,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,10,,5,Association,1,Unconditional Exemption,0,0,6,,0,,,,
,60602997,TITI MILLIE DAY CARE INC,,PO BOX 1347,GUANICA,PR,00653-1347,Charitable and religious,Charitable and religious,P33,Human Services - Multipurpose and Other,Child Day Care,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,4,100,000 to 499,,999,,1,0,73456
,61700976,SEED OF LIFE WORLD MINISTRIES,% HELEN SPENCER,CEB-KU ATTN AMC-ITT/FWD,APO,AE,09366-0000,Charitable and religious,Charitable and religious,X20,Religion-Related, Spiritual Development,Christian,3,,Independent,1,Contributions are deductible. ,,10,1,Corporation,1,Unconditional Exemption,0,0,,6,,0,,
,113695103,OUTER VOICES,% STEPHANIE GUYER-STEVENS,1300 CRUZ BAY CRK,ST JOHN,VI,00830-6108,Charitable and religious,Charitable and religious,A30,Arts, Culture and Humanities,Media, Communications Organizations,,3,Independent,1,,Contributions are deductible. ,15,1,Corporation,1,Unconditional Exemption,3,,25,,000 to 99,999,1
,133779420,SOCIEDAD ECONOMICA DE AMIGOS DEL PAIS INC,% C/O CORP,PO BOX 365051,SAN JUAN,PR,00936-5051,Charitable and religious,Charitable and religious,R40,Civil Rights, Social Action, Advocacy,Voter Education,, Registration,3,Independent,,1,Contributions are deductible. ,15,1,Corporation,1,Unconditional Exemption,,0,,0,2,0
,141965395,GIVE CHILDREN A CHANCE,% JARROD WILLIAM GOSY,CMR 414 BOX 2247,APO,AE,09173-0000,Charitable and religious,Charitable and religious,,,,9,Subordinate,,2,Contributions are not deductible. ,10,,1,Corporation,1,Unconditional Exemption,0,0,6,,0,,,,
,161655556,ZERO TOLERANCE BASKETBALL ORGANIZATION INC,,9900 OHC APT 285,ST THOMAS,VI,00802-0000,Charitable and religious,Charitable and religious,N63,Recreation, Sports, Leisure, Athletics,,Baseball, Softball,3,,Independent,1,Contributions are deductible. ,15,1,Corporation,1,,Unconditional Exemption,,3,25,000 to 99
,166077141,MYCOLOGICAL SOCIETY OF AMERICA THE,% SHARON A CANTRELL,PO BOX 3030,GURABO,PR,00778-3030,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,16,,5,Association,1,Unconditional Exemption,5,500,000 to 999,,999,,1,0,1464025
,204233856,MOCKETT FAMILY FOUNDATION,% DOUG MOCKETT & INC,PO BOX 25194,CHRISTIANSTED,VI,00824-1194,Charitable and religious,Charitable and religious,T20,Philanthropy, Voluntarism and Grantmaking Foundations,Private Grantmaking Foundations,3,,Independent,1,Contributions are deductible. ,,,1,Corporation,1,Unconditional Exemption,1,1 to 9,,999,,0,1,932
,205057391,PETS ALIVE PUERTO RICO,% VIRGINIA CORNETT,PO BOX 1904,UTUADO,PR,00641-1904,Charitable and religious,Charitable and religious,D20,Animal-Related,Animal Protection and Welfare,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,4,100,000 to 499,,999,,1,0,339365
,205635400,UPRISING,% SARAH STEIN,PO BOX 142173,ARECIBO,PR,00614-2173,Charitable and religious,Charitable and religious,P20,Human Services - Multipurpose and Other,Human Service Organizations - Multipurpose,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,0,0,2,,0,,0,0,0
,206975076,PRIOR FAMILY FOUNDATION,,PO BOX 12030,ST THOMAS,VI,00801-5030,Charitable and religious,Charitable and religious,T20,Philanthropy, Voluntarism and Grantmaking Foundations,Private Grantmaking Foundations,3,,Independent,1,Contributions are deductible. ,,,2,Trust,1,Unconditional Exemption,4,100,,000 to 499,,999,0,1
,223275938,PADMASAMBHAVA BUDDHIST CENTER OF PUERTO RICO,% NESTOR KUILAN,1453 ALFONSO AVE,ALTAMIRA RIO PIEDROS,PR,00921-0000,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,10,,5,Association,1,Unconditional Exemption,0,0,6,,0,,,,
,223480547,IGLESIA PENTECOSTAL VIDA Y VERDAD DE LAS ASAMBLEAS DE DIOS,% BARBARA NIEVES,PO BOX 2877,GUAYAMA,PR,00785-2877,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,10,,5,Association,1,Unconditional Exemption,0,0,6,,0,,,,
,237034732,ASOCIACION PUERTORRIQUENA PRO BIENESTAR DE LAS FAMILIAS INC,,PO BOX 192379,SAN JUAN,PR,00919-2379,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,15,,5,Association,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,237050819,ARNOLD AIR SOCIETY-SILVER WINGS,% UNIV OF PUERTO RICO MAYAGUEZ,BOX 5171 BAMBU STREET,MAYAGUEZ,PR,00681-0000,Social Welfare Orgs,Seven of 10 of the largrest organizations by gross receipts are in the health care field, and provide social welfare services, such as dental benefit coverage or medicaid and medical and prescription drug services. However, among the smaller organization,,,,,9,Subordinate,,2,Contributions are not deductible. ,,5,Association,1,Unconditional Exemption,,0,,0,2,0
,237056835,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% JOMAR GONZALEZ-BERNARD,286 NUNEZ PRIETO VILLA PALMERAS,SAN JUA,PR,00915-0000,Social Welfare Orgs,Seven of 10 of the largrest organizations by gross receipts are in the health care field, and provide social welfare services, such as dental benefit coverage or medicaid and medical and prescription drug services. However, among the smaller organization,,,,,9,Subordinate,,2,Contributions are not deductible. ,,5,Association,1,Unconditional Exemption,,0,,0,2,0
,237063348,AMERICAN SAMOA COLLEGE FOUNDATION,% NA,PO BOX 2609,PAGO PAGO,AS,96799-2609,Charitable and religious,Charitable and religious,B122,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,0,0,2,,0,,0,0,0
,237071078,ALPHA PHI OMEGA-UPSILON MO CHAPTER,,PO BOX 643,LAS MARIAS,PR,00670-0643,Charitable and religious,Charitable and religious,P20,Human Services - Multipurpose and Other,Human Service Organizations - Multipurpose,3,Independent,,1,Contributions are deductible. ,16,,5,Association,1,Unconditional Exemption,0,0,1,,0,,,,
,237116709,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% CARMEN CARDONA /CLUB DE LEONES,DD16 CALLE E,LUQUILLO,PR,00773-2629,Social Welfare Orgs,Seven of 10 of the largrest organizations by gross receipts are in the health care field, and provide social welfare services, such as dental benefit coverage or medicaid and medical and prescription drug services. However, among the smaller organization,,,,,9,Subordinate,,2,Contributions are not deductible. ,,5,Association,1,Unconditional Exemption,,0,,0,2,0
,237116743,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% CARMEN ORTIZ-OLIVEN,T17 CALLE 30,TRUJILLO ALTO,PR,00976-2106,Social Welfare Orgs,Seven of 10 of the largrest organizations by gross receipts are in the health care field, and provide social welfare services, such as dental benefit coverage or medicaid and medical and prescription drug services. However, among the smaller organization,,,,,9,Subordinate,,2,Contributions are not deductible. ,,5,Association,1,Unconditional Exemption,,1,,1 to 9,999,2
,237128019,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% PAULINO DORTA PEREZ,PO BOX 141678,ARECIBO,PR,00614-1678,Social Welfare Orgs,Seven of 10 of the largrest organizations by gross receipts are in the health care field, and provide social welfare services, such as dental benefit coverage or medicaid and medical and prescription drug services. However, among the smaller organization,,,,,9,Subordinate,,2,Contributions are not deductible. ,,5,Association,1,Unconditional Exemption,,0,,0,2,0
,237133516,ISLAND RESOURCES FOUNDATION,,6292 ESTATE NAZARETH 11,ST THOMAS,VI,00802-1118,Charitable and religious,Charitable and religious,T30,Philanthropy, Voluntarism and Grantmaking Foundations,Public Foundations,3,,Independent,1,Contributions are deductible. ,,15,1,Corporation,1,Unconditional Exemption,4,100,,000 to 499,,999,1,0
,237157589,FUTURE BUSINESS LEADERS OF AMERICA PHI BETA LAMBDA INC,% MYRNA GARCIA,PO BOX 190759,SAN JUAN,PR,00919-0759,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,16,,5,Association,1,Unconditional Exemption,0,0,2,,0,,,,
,237167109,COMMUNITY CHURCH OF TEHRAN IRAN,,ARMISH-MAAG APO 205              EN,APO,AE,09008-0000,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,10,,5,Association,1,Unconditional Exemption,0,0,6,,0,,,,
,237208610,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN INC,% JOANNE MARTI,PARQUE DE BUCARE B-2 BROMELIA,GUAYNABO,PR,00969-0000,Social Welfare Orgs,Seven of 10 of the largrest organizations by gross receipts are in the health care field, and provide social welfare services, such as dental benefit coverage or medicaid and medical and prescription drug services. However, among the smaller organization,B82O,,,,9,Subordinate,,2,Contributions are not deductible. ,,5,Association,1,Unconditional Exemption,,0,,0,2,0
,237247277,SOUTHEASTERN MENNONITE CONFERENCE INC,,HC 1 BOX 3321,FLORIDA,PR,00650-9506,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,10,,1,Corporation,1,Unconditional Exemption,0,0,6,,0,,,,
,237259899,INTEGRAL DE LOIZA CONCILIODE SALUD,,PO BOX 509,LOIZA,PR,00772-0509,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,8,10,0,,000 to 49,,999,999,1
,237282007,MAYAGUEZ CHAPTER 6 DEPARTMENT OF PUERTO RICO DISABLED AMERICAN,% PEDRO ESTRADA,PO BOX 6775,MAYAGUEZ,PR,00681-6775,Social Welfare Orgs,Seven of 10 of the largrest organizations by gross receipts are in the health care field, and provide social welfare services, such as dental benefit coverage or medicaid and medical and prescription drug services. However, among the smaller organization,,,,,9,Subordinate,,1,Contributions are deductible. ,,5,Association,1,Unconditional Exemption,,0,,0,2,0
,237282008,DISABLED AMERICAN VETERANS,% ANGEL L RODRIGUEZ,PO BOX 746,CEIBA,PR,00735-0746,Social Welfare Orgs,Seven of 10 of the largrest organizations by gross receipts are in the health care field, and provide social welfare services, such as dental benefit coverage or medicaid and medical and prescription drug services. However, among the smaller organization,,,,,9,Subordinate,,1,Contributions are deductible. ,,5,Association,1,Unconditional Exemption,,0,,0,2,0
,237282009,DISABLED AMERICAN VETERANS,% JIMMY DE LUCCA,PO BOX 226,ARROYO,PR,00714-0226,Social Welfare Orgs,Seven of 10 of the largrest organizations by gross receipts are in the health care field, and provide social welfare services, such as dental benefit coverage or medicaid and medical and prescription drug services. However, among the smaller organization,,,,,9,Subordinate,,2,Contributions are not deductible. ,,5,Association,1,Unconditional Exemption,,0,,0,2,0
,237282012,DISABLED AMERICAN VETERANS,,PO BOX 970,ARECIBO,PR,00613-0970,Social Welfare Orgs,Seven of 10 of the largrest organizations by gross receipts are in the health care field, and provide social welfare services, such as dental benefit coverage or medicaid and medical and prescription drug services. However, among the smaller organization,W24,Public,, Society Benefit - Multipurpose and Other,Citizen Participation,9,,Subordinate,1,Contributions are deductible. ,,2,Trust,1,,Unconditional Exemption,,0,0,2
,237283277,CARIBBEAN CHRISTIAN CRUSADE INC,% DIANA MUNOZ,18 CALLE SOLIMAR,MAYAGUEZ,PR,00680-8300,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,16,,1,Corporation,1,Unconditional Exemption,0,0,2,,0,,0,0,0
,237322865,ALPHA PI MU ASSOCIATION,% MAYRA MENDEZ,PO BOX 9000,MAYAGUEZ,PR,00681-9000,Charitable and religious,Charitable and religious,,,,9,Subordinate,,2,Contributions are not deductible. ,16,,5,Association,1,Unconditional Exemption,0,0,2,,0,,0,0,0
,237327860,BOY SCOUTS OF AMERICA,,MCB CAMP FOSTER UNIT 35049,FPO,AP,96373-0000,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,15,,5,Association,1,Unconditional Exemption,6,1,0,,000 to 4,,999,999,1
,237334441,MORAVIAN CHURCH VIRGIN ISLAND CONFERENCE,,PO BOX 8330,ST THOMAS,VI,00801-1330,Charitable and religious,Charitable and religious,X20,Religion-Related, Spiritual Development,Christian,3,,Independent,1,Contributions are deductible. ,,10,1,Corporation,1,Unconditional Exemption,0,0,,6,,0,,
,237352551,DISABLED AMERICAN VETERANS,% JUAN LOZANO-NIEVES,PO BOX 363304,SAN JUAN,PR,00936-3304,Social Welfare Orgs,Seven of 10 of the largrest organizations by gross receipts are in the health care field, and provide social welfare services, such as dental benefit coverage or medicaid and medical and prescription drug services. However, among the smaller organization,,,,,9,Subordinate,,1,Contributions are deductible. ,,5,Association,1,Unconditional Exemption,,3,,25,000 to 99,999
,237409172,CARIBBEAN UNIVERSITY,,PO BOX 493,BAYAMON,PR,00960-0493,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,11,,1,Corporation,1,Unconditional Exemption,8,10,0,,000 to 49,,999,999,1
,237429707,DISABLED AMERICAN VETERANS,% RAFAEL RAMOS SANTIAGO,50 CALLE ALBERTO RICCI,PATILLAS,PR,00723-2821,Social Welfare Orgs,Seven of 10 of the largrest organizations by gross receipts are in the health care field, and provide social welfare services, such as dental benefit coverage or medicaid and medical and prescription drug services. However, among the smaller organization,W30,Public,, Society Benefit - Multipurpose and Other,Military, Veterans' Organizations,,3,Independent,1,Contributions are deductible. ,,1,Corporation,,1,,Unconditional Exemption,0,0
,237445298,NICHIREN SHOSHU ACADEMY MARIANAS CHAPTER,% DANNY DAVIS,68 Y SENGSONG RD,DEDEDO,GU,96912-1402,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,10,,1,Corporation,1,Unconditional Exemption,0,0,6,,0,,,,
,237447563,EMMANUEL BAPTIST CHURCH,,PO BOX 1180,FPO,AP,96642-0000,Charitable and religious,Charitable and religious,,,,3,Independent,,1,Contributions are deductible. ,10,,1,Corporation,1,Unconditional Exemption,0,0,6,,0,,,,
,260032593,IGLESIA CRISTIANA CASA DE ORACION Y ADORACION,% LUGO BARRIOS LEIDA,CALLE FRANCISCO MARIANO QUINONEZ,SAN GERMAN,PR,00683-0000,Charitable and religious,Charitable and religious,X20,Religion-Related, Spiritual Development,Christian,3,,Independent,1,Contributions are deductible. ,,10,1,Corporation,1,Unconditional Exemption,0,0,,6,,0,,
,260073226,AFCEA EDUCATIONAL FOUNDATION,% COL KARLTON D JOHNSON USAF,PSC 303 BOX 31,APO,AP,96204-3031,Charitable and religious,Charitable and religious,,,,9,Subordinate,,1,Contributions are deductible. ,15,,1,Corporation,1,Unconditional Exemption,0,0,2,,0,,0,0,0
