ID,EIN,NAME,ICO,STREET,CITY,STATE,ZIP,Subsection Name,Subsection Description,NTEE_CD,Category,IRS_NTEE_Code2_Description,AFFILIATION,Aff_Type,IRS_Affiliation_Codes_Description,Ded_Code,Ded_Description,Foundation_Code,Foundation_Description,Org_Code,Org_Description,EO_Status_Code,EO_Description,Asset_Income_Code,IRS_Asset_Income_Codes_Description,Filing_Code,IRS_Filing_Codes_Description,PF_Filing_Code,IRS_PF_Filing_Codes_Description,ASSET_AMT,INCOME_AMT,REVENUE_AMT,ACCESS_CODE
83,10593919,GOLGOTHA BAPTIST CHURCH INC,% CHARLES D JEAN,3620 SW 40TH AVE,HOLLYWOOD,FL,33023-6222,Charitable and religious,Charitable and religious,,,,9,Subordinate,subordinate in a group ruling,1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),5,Association,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-6459-4663G
85,10594589,WEST COAST COMMUNITY CHURCH INC,% TOMMY LYNN OHARA,3005 S TUTTLE AVE,SARASOTA,FL,34239-5511,Charitable and religious,Charitable and religious,X20,"Religion-Related, Spiritual Development",Christian,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-2949-3269W
100,10603996,EMMANUEL BAPTIST CHURCH OF POMPANO BEACH,% REV MICHEL ROUZARD,PO BOX 940,DEERFIELD BCH,FL,33443-0940,Charitable and religious,Charitable and religious,,,,9,Subordinate,subordinate in a group ruling,1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),5,Association,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-7337-3805E
101,10604645,BETHLEHEM BAPTIST CHURCH,,1572 HIGHWAY 177,BONIFAY,FL,32425-7634,Charitable and religious,Charitable and religious,,,,9,Subordinate,subordinate in a group ruling,1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),5,Association,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-6088-2370B
114,10618233,IN HIM MINISTRIES FOR THE LORD PENTECOSTAL CHURCH INC,% BETTYE LEWIS,841 BURLINGTON ST,OPA LOCKA,FL,33054-3928,Charitable and religious,Charitable and religious,X21,"Religion-Related, Spiritual Development",Protestant,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-1327-7286I
124,10627010,NEXT LEVEL CHURCH INC,% MATT KELLER,12400 PLANTATION RD,FORT MYERS,FL,33966-1343,Charitable and religious,Charitable and religious,X90,"Religion-Related, Spiritual Development",Interfaith Issues,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-8989-7795N
146,10646954,KMER BAPTIST CHURCH,% LEK LEE,2700 UNIVERSITY BLVD S,JACKSONVILLE,FL,32216-2557,Charitable and religious,Charitable and religious,,,,9,Subordinate,subordinate in a group ruling,1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),5,Association,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-7292-6204K
155,10654175,AMERICANS UNITED FOR SEPARATION OF CHURCH AND STATE,% JOHN LYNCH,800 AUGUSTA BLVD APT B103,NAPLES,FL,34113-7517,Charitable and religious,Charitable and religious,,,,9,Subordinate,subordinate in a group ruling,,,15,Organization which receives a substantial part of its support from a governmental unit or the general public 170(b)(1)(A)(vi),1,Corporation,1,Unconditional Exemption,0,0,2,"990 - Required to file Form 990-N - Income less than $25,000 per year",0,0 No 990-PF return,0,0,0,FL10-7702-6090A
157,10654403,DO RIGHT CHURCH OF JESUS CHRIST,% MCKINON SYLVESTER PASTOR,1461 N MANGONIA DR,WEST PALM BCH,FL,33401-2421,Charitable and religious,Charitable and religious,X21,"Religion-Related, Spiritual Development",Protestant,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-5844-5823D
163,10662755,SHADES OF GRACE CITYWIDE CHURCH,% ROBERT F MAYNARD JR,PO BOX 659,AUBURNDALE,FL,33823-0659,Charitable and religious,Charitable and religious,,,,9,Subordinate,subordinate in a group ruling,1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),5,Association,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-6419-8971S
173,10672368,HOLY SPIRIT CHURCH AND INSTITUTE INC,% KARINA BRITEZ RODRIGUEZ,PO BOX 414895,MIAMI BEACH,FL,33141-0895,Charitable and religious,Charitable and religious,X20,"Religion-Related, Spiritual Development",Christian,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-8543-9273H
186,10688527,UNITY BAPTIST CHURCH,% MARGARETTE SAINTVIL,13001 NW 7TH AVE,NORTH MIAMI,FL,33168-2701,Charitable and religious,Charitable and religious,,,,9,Subordinate,subordinate in a group ruling,1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),5,Association,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-9030-7179U
190,10692407,FOUNTAINGATE CHURCH CORP,,PO BOX 10154,BRADENTON,FL,34282-0154,Charitable and religious,Charitable and religious,X21,"Religion-Related, Spiritual Development",Protestant,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-2143-5783F
198,10697890,CREEKSIDE CHRISTIAN CHURCH INC,,92 LIFESPRING WAY,SAINT JOHNS,FL,32259-2070,Charitable and religious,Charitable and religious,X21,"Religion-Related, Spiritual Development",Protestant,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-6958-3877C
204,10703263,CHRISTIAN CHURCH OF EDGEWATER FLORIDA INC,% PAUL SUPPA,PO BOX 217,EDGEWATER,FL,32132-0217,Charitable and religious,Charitable and religious,X20,"Religion-Related, Spiritual Development",Christian,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-8608-6431C
213,10712492,TURNING POINT INTERNATIONAL CHURCH INC,% ROSALIND Y TOMPKINS,PO BOX 5121,TALLAHASSEE,FL,32314-5121,Charitable and religious,Charitable and religious,X21,"Religion-Related, Spiritual Development",Protestant,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,3,"25,000 to 99,999",6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-1333-4400T
214,10712497,KOREAN GRACE BAPTIST CHURCH OF BRANDON INC,% YANG S SANDERS,1046 VISTA CAY CT,BRANDON,FL,33511-7351,Charitable and religious,Charitable and religious,X20,"Religion-Related, Spiritual Development",Christian,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-6269-8094K
236,10728512,CHIEF CORNER STONE MISSIONARY BAPTIST CHURCH INC,% REV PHILLIP O MARVRAY,3125 MAIN ST,MELBOURNE,FL,32901-8021,Charitable and religious,Charitable and religious,X21,"Religion-Related, Spiritual Development",Protestant,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-3037-1384C
254,10738924,CHURCH OF THE RESURRECTION INC,% FRANK COSTANTINO,2017 MERCY DR,ORLANDO,FL,32808-5613,Charitable and religious,Charitable and religious,,,,9,Subordinate,subordinate in a group ruling,1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-5098-1721C
259,10741784,CHURCH OF GOD HOUSE OF TRUTH INC,% TONY WEAVER,1130 NW 19TH ST,FT LAUDERDALE,FL,33311-3622,Charitable and religious,Charitable and religious,X20,"Religion-Related, Spiritual Development",Christian,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,4,Private non-operating foundation,1,Corporation,1,Unconditional Exemption,1,"1 to 9,999",0,990 - Not required to file (all other),1,1 990-PF return,15833,7579,0,FL10-6230-9870C
260,10743267,FISHERMANS NET COMMUNITY CHURCH INC,% JAMES MACINNES,1329 NANTUCKET RD,VENICE,FL,34293-5395,Charitable and religious,Charitable and religious,X20,"Religion-Related, Spiritual Development",Christian,9,Subordinate,subordinate in a group ruling,,,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-7196-5191F
267,10750062,NEW VISION BAPTIST CHURCH,% ORILANGE BIEN-AIME,807 67TH AVENUE DR W,BRADENTON,FL,34207-6122,Charitable and religious,Charitable and religious,,,,9,Subordinate,subordinate in a group ruling,,,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-7088-2676N
271,10752460,MOSAIC MIAMI CHURCH INC,% KEVIN SUTHERLAND,8040 NE 8TH CT,MIAMI,FL,33138-4607,Charitable and religious,Charitable and religious,X21,"Religion-Related, Spiritual Development",Protestant,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-4062-9757M
273,10754682,WAYFARING CHURCH OF GOD IN CHRIST INC,% THELMA STURDIVANT,PO BOX 370763,MIAMI,FL,33137-0763,Charitable and religious,Charitable and religious,X20,"Religion-Related, Spiritual Development",Christian,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-4131-8573W
276,10763500,EMMANUEL BAPTIST CHURCH OF HOLINESS,,3420 DAVIE BLVD,FORT LAUDERDALE,FL,33312-0000,Charitable and religious,Charitable and religious,,,,9,Subordinate,subordinate in a group ruling,1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),5,Association,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-8941-2162E
279,10767063,ST REBEKAH COPTIC ORTHODOX CHURCH INC,% FR SHENOUDA KALLEENY,PO BOX 770268,ORLANDO,FL,32877-0268,Charitable and religious,Charitable and religious,X21,"Religion-Related, Spiritual Development",Protestant,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-7939-5837S
300,10790827,HARVEST COMMUNITY CHURCH OF JAY INC,% HENRY I JUDY JR,2828 HARVEST RD,JAY,FL,32565-4813,Charitable and religious,Charitable and religious,X20,"Religion-Related, Spiritual Development",Christian,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-6714-5906H
306,10796248,WELLSPRING INTERNATIONAL CHURCH INC,% LINDSEY WILSON,PO BOX 3168,SARASOTA,FL,34230-3168,Charitable and religious,Charitable and religious,X20,"Religion-Related, Spiritual Development",Christian,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-2879-5873W
307,10798754,LIGHTHOUSE CHURCH RESTORATION,% JAMES B WILLIAMS JR,PO BOX 2318,JACKSONVILLE,FL,32203-2318,Charitable and religious,Charitable and religious,X20,"Religion-Related, Spiritual Development",Christian,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-4247-4550L
310,10800241,REDEMPTION MISSIONARY BAPTIST CHURCH,% WILLIE MCCRAE,19801 NW 5TH AVE,MIAMI GARDENS,FL,33169-3265,Charitable and religious,Charitable and religious,X21,"Religion-Related, Spiritual Development",Protestant,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-7969-9180R
324,10810804,ST PAUL MISSIONARY BAPTIST CHURCH OF JACKSONVILLE INC,% JOHN E GUNS,3738 WINTON DR,JACKSONVILLE,FL,32208-2924,Charitable and religious,Charitable and religious,,,,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-4785-2183S
367,10858867,KINGDOM EMPOWERMENT CHURCH INC,% BOTTOM LINE BOOKKEEPING,PO BOX 1617,CRYSTAL RIVER,FL,34423-1617,Charitable and religious,Charitable and religious,X21,"Religion-Related, Spiritual Development",Protestant,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-8344-3566K
386,10876835,ST ANDREW PRESBYTERIAN CHURCH OF NEW TAMPA INC,,5338 PRIMROSE LAKE CIR,TAMPA,FL,33647-3589,Charitable and religious,Charitable and religious,,,,9,Subordinate,subordinate in a group ruling,1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),5,Association,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-5379-5072S
445,10932043,OAK GROVE MISSIONARY BAPTIST CHURCH,,12911 52ND ST,LIVE OAK,FL,32060-8307,Charitable and religious,Charitable and religious,X21,"Religion-Related, Spiritual Development",Protestant,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-4980-5495O
463,10945972,NEW LIFE FELLOWSHIP MISSIONARY BAPTIST CHURCH,% ERROL THOMPSON & STELLA STUDSTILL,3239 OLD WINTER GARDEN RD STE 12,ORLANDO,FL,32805-1122,Charitable and religious,Charitable and religious,X21,"Religion-Related, Spiritual Development",Protestant,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-3944-5386N
469,10950466,CORNERSTONE EVANGELICAL COMMUNITY CHURCH,% JONATHAN CAPRE,175 LAKE HOLLINGSWORTH DR,LAKELAND,FL,33801-5673,Charitable and religious,Charitable and religious,X20,"Religion-Related, Spiritual Development",Christian,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",2,Contributions are not deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,2,"10,000 to 24,999",6,990 - Not required to file (church),0,0 No 990-PF return,7533,13298,13298,FL10-7055-9197C
470,10950574,NEW JERUSALEM CHURCH OF GOD OF PSL,,1605 SE PORT SAINT LUCIE BLVD 1625,PORT SAINT LUCIE,FL,34952-0000,Charitable and religious,Charitable and religious,X20,"Religion-Related, Spiritual Development",Christian,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL10-4604-1903N
514,20531022,SHADY SEA MISSIONARY BAPTIST CHURCH INC,,47 SHADY SEA ST,CRAWFORDVILLE,FL,32327-4972,Charitable and religious,Charitable and religious,,,,9,Subordinate,subordinate in a group ruling,1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),5,Association,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL20-8423-8189S
528,20535489,SANCTUARY OF HOPE COMMUNITY CHURCH INC,% REV VIOLA J GRAHAM,PO BOX 884,SANFORD,FL,32772-0884,Charitable and religious,Charitable and religious,X20,"Religion-Related, Spiritual Development",Christian,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL20-5860-8052S
532,20540464,ZION CHURCH OF GOD INC,% JEAN CLAUDE PIERRE,1384 SEAVIEW,N LAUDERDALE,FL,33068-3910,Charitable and religious,Charitable and religious,X20,"Religion-Related, Spiritual Development",Christian,3,Independent,"independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",1,Contributions are deductible.,10,Church 170(b)(1)(A)(i),1,Corporation,1,Unconditional Exemption,0,0,6,990 - Not required to file (church),0,0 No 990-PF return,0,0,0,FL20-8684-6033Z
